cmi,idx,n_samples,n_dims_1,n_dims_2
-0.006217738480163937,0,256,4090,6
-0.0035319443025075836,0,512,4090,6
-0.010772133551554486,0,1024,4090,6
-0.008389448575891079,0,2048,4090,6
-0.007538186213472908,0,4096,4090,6
0.008961778829664535,1,256,4090,6
0.004412217446666311,1,512,4090,6
0.010522846473251413,1,1024,4090,6
0.007383825446562242,1,2048,4090,6
0.012442322001735118,1,4096,4090,6
-0.0013624003563590392,2,256,4090,6
-0.0021133505489012716,2,512,4090,6
-0.0024705227225230164,2,1024,4090,6
-0.001333068314686714,2,2048,4090,6
-0.0032643410566847164,2,4096,4090,6
0.0010437789920594298,3,256,4090,6
0.0033272589135280306,3,512,4090,6
-0.0005555720895966676,3,1024,4090,6
-0.0013115446498057626,3,2048,4090,6
0.0030833405724465246,3,4096,4090,6
0.00032904705337455376,4,256,4090,6
-0.001973535436126328,4,512,4090,6
0.00452927073034326,4,1024,4090,6
0.00011436536510212036,4,2048,4090,6
-0.004147230263546242,4,4096,4090,6
-0.0011342852395701541,5,256,4090,6
0.0017726657076723162,5,512,4090,6
-0.004107061021523584,5,1024,4090,6
-0.007474151778146476,5,2048,4090,6
-0.005859346513525598,5,4096,4090,6
0.001252365102746178,6,256,4090,6
-0.006800234632932001,6,512,4090,6
0.005916519868088277,6,1024,4090,6
0.010310832335236886,6,2048,4090,6
0.0076793817992738544,6,4096,4090,6
-0.0006317846591431531,7,256,4090,6
-0.0016405343080205803,7,512,4090,6
-0.0050373850967662115,7,1024,4090,6
-0.006805432950655055,7,2048,4090,6
-0.007684815809316459,7,4096,4090,6
-0.009136103772914628,8,256,4090,6
-0.0015573356125481164,8,512,4090,6
-0.0012241493282021398,8,1024,4090,6
-0.0022710999878888805,8,2048,4090,6
-0.0029837230456594144,8,4096,4090,6
0.007469949012308574,9,256,4090,6
0.0016903403034261855,9,512,4090,6
0.0004914917659313289,9,1024,4090,6
0.010311823006823206,9,2048,4090,6
0.006344637153412824,9,4096,4090,6
-0.0010921783092845416,10,256,4090,6
0.004334234477768595,10,512,4090,6
0.0013782202487753192,10,1024,4090,6
-0.003222306994741797,10,2048,4090,6
-0.0010714023864781819,10,4096,4090,6
0.001333136726254125,11,256,4090,6
0.0006573838666821263,11,512,4090,6
0.0017761608331978707,11,1024,4090,6
-0.0041003297500489255,11,2048,4090,6
0.0025109417813832247,11,4096,4090,6
-0.0013706935473912774,12,256,4090,6
0.0028224439445733163,12,512,4090,6
-0.0024477986314677125,12,1024,4090,6
-0.003863254759887469,12,2048,4090,6
-1.7910899456130558e-05,12,4096,4090,6
0.0029855488534757946,13,256,4090,6
-0.0040799024081029645,13,512,4090,6
-0.0007358800225232276,13,1024,4090,6
0.012415619065620276,13,2048,4090,6
0.0050149696787109566,13,4096,4090,6
-0.002810289248825426,14,256,4090,6
0.0009149154856353814,14,512,4090,6
-0.0039501262385133185,14,1024,4090,6
0.0014791773635010053,14,2048,4090,6
0.0006321720525750418,14,4096,4090,6
0.0026757084755875127,15,256,4090,6
-0.005423545906453331,15,512,4090,6
-9.127072621528676e-05,15,1024,4090,6
-0.008899854906089022,15,2048,4090,6
-0.011270994934973855,15,4096,4090,6
-0.0020051713387669867,16,256,4090,6
0.004479510577805268,16,512,4090,6
-0.008273872121655756,16,1024,4090,6
-0.0015928991442583085,16,2048,4090,6
-0.008039935981442259,16,4096,4090,6
-0.0011205118072805664,17,256,4090,6
0.003123249328445876,17,512,4090,6
-0.0013830540661545765,17,1024,4090,6
-0.012041686104127924,17,2048,4090,6
0.002884697522623547,17,4096,4090,6
0.0035760529783790407,18,256,4090,6
-0.0035227943136991735,18,512,4090,6
0.02123612732185831,18,1024,4090,6
0.008653288996231856,18,2048,4090,6
0.008289979108576429,18,4096,4090,6
-0.00694342647017987,19,256,4090,6
0.00654235953322424,19,512,4090,6
0.00041916484084170147,19,1024,4090,6
0.009473622034406937,19,2048,4090,6
0.0037433786136625846,19,4096,4090,6
0.0037727604015319605,20,256,4090,6
-0.0011253707590210826,20,512,4090,6
-0.0016846504127927542,20,1024,4090,6
-0.00022343374396349702,20,2048,4090,6
0.00124077417518198,20,4096,4090,6
-0.00014990404028381032,21,256,4090,6
-0.013812309983082915,21,512,4090,6
-0.014635738142237287,21,1024,4090,6
-0.004923275862192211,21,2048,4090,6
-0.009023960967780909,21,4096,4090,6
-0.0022474520166094747,22,256,4090,6
0.009613414914190654,22,512,4090,6
0.00040555233330619167,22,1024,4090,6
-0.0006881102392617411,22,2048,4090,6
0.0024393238535875827,22,4096,4090,6
0.0013201311237271973,23,256,4090,6
0.0013883333302862066,23,512,4090,6
0.009896197503106663,23,1024,4090,6
0.0005360582243894019,23,2048,4090,6
0.005093617230616632,23,4096,4090,6
-0.005272978652272053,24,256,4090,6
-0.004258744143613047,24,512,4090,6
-0.0006705687613964839,24,1024,4090,6
0.0024625266690985192,24,2048,4090,6
-0.00525689067696633,24,4096,4090,6
0.009441316718811099,25,256,4090,6
0.0008022345841849354,25,512,4090,6
0.002571460289168992,25,1024,4090,6
-0.0008184938530794161,25,2048,4090,6
0.0046994106568312155,25,4096,4090,6
-0.0017613952562699486,26,256,4090,6
-0.009831210549034797,26,512,4090,6
0.00391035478974322,26,1024,4090,6
0.00627256899890527,26,2048,4090,6
0.00378125100348492,26,4096,4090,6
-0.00011864049398513377,27,256,4090,6
0.007227595665784015,27,512,4090,6
-0.006595015397485637,27,1024,4090,6
-0.0007388249442479289,27,2048,4090,6
-0.00503039938510641,27,4096,4090,6
0.0006823759227425619,28,256,4090,6
0.0024431159422170223,28,512,4090,6
-0.006441807761561447,28,1024,4090,6
-0.0023300941190868008,28,2048,4090,6
-0.000733914709104333,28,4096,4090,6
-0.0038085372661161854,29,256,4090,6
-0.0012052277532099698,29,512,4090,6
0.011610025033340188,29,1024,4090,6
0.0073299883135635735,29,2048,4090,6
0.0032954844938383188,29,4096,4090,6
-0.0036212919778467745,30,256,4090,6
0.003468521667559177,30,512,4090,6
-0.001290591739356528,30,1024,4090,6
-0.005035612187925698,30,2048,4090,6
-0.004193259339115296,30,4096,4090,6
0.007792086393640818,31,256,4090,6
0.007469534912316944,31,512,4090,6
-0.0016014932997887588,31,1024,4090,6
0.0015121165438789497,31,2048,4090,6
0.005323288313525021,31,4096,4090,6
0.001052182919209832,32,256,4090,6
-0.014449490323701242,32,512,4090,6
-0.0008079196052009907,32,1024,4090,6
-0.010001452984961912,32,2048,4090,6
-0.0014408065957810523,32,4096,4090,6
4.27277062988729e-05,33,256,4090,6
-0.0038724401486505133,33,512,4090,6
-0.003328456759270293,33,1024,4090,6
-0.000997858707494248,33,2048,4090,6
-0.0073664295529111135,33,4096,4090,6
-0.0002294306428425319,34,256,4090,6
0.0018974947915222362,34,512,4090,6
-0.0006706573806720684,34,1024,4090,6
-0.00025761360818898904,34,2048,4090,6
-0.0025276812418895123,34,4096,4090,6
-0.0057281686576302615,35,256,4090,6
0.005213532183500735,35,512,4090,6
0.004112458233433536,35,1024,4090,6
0.009655574136152811,35,2048,4090,6
0.014430194127471374,35,4096,4090,6
0.0006580307816477227,36,256,4090,6
0.002569928646357744,36,512,4090,6
-0.013634163951633083,36,1024,4090,6
-0.011550536876734352,36,2048,4090,6
-0.01420367412969914,36,4096,4090,6
-0.00047393270471174365,37,256,4090,6
-0.005501338751306872,37,512,4090,6
0.014430055955968024,37,1024,4090,6
0.008396563885299302,37,2048,4090,6
0.0058589051384270174,37,4096,4090,6
0.002188433675258783,38,256,4090,6
-0.005163092520371282,38,512,4090,6
-0.0164136807429881,38,1024,4090,6
-0.014648743878602266,38,2048,4090,6
-0.012487773394099455,38,4096,4090,6
0.0030380075510823,39,256,4090,6
0.011499366853304882,39,512,4090,6
0.011832934009549434,39,1024,4090,6
0.009302083204977274,39,2048,4090,6
0.008852089269764996,39,4096,4090,6
0.0004334853997207677,40,256,4090,6
-0.010229673869101341,40,512,4090,6
-0.007103294562738505,40,1024,4090,6
0.005206501854075785,40,2048,4090,6
0.0028994725024423795,40,4096,4090,6
-0.00046848581627179087,41,256,4090,6
-1.2971171977627094e-06,41,512,4090,6
0.0003118657536146374,41,1024,4090,6
-0.008951525957648143,41,2048,4090,6
-0.005161214453256013,41,4096,4090,6
-0.007075661111158205,42,256,4090,6
0.0073660469418903585,42,512,4090,6
0.012032298119549423,42,1024,4090,6
0.0050550681568757305,42,2048,4090,6
0.005712241914357041,42,4096,4090,6
-0.0003115602007593976,43,256,4090,6
0.005803887490442472,43,512,4090,6
0.0011404655272568842,43,1024,4090,6
0.00645932975943142,43,2048,4090,6
0.002382547026094084,43,4096,4090,6
2.1317435615064717e-05,44,256,4090,6
-0.007928922601119881,44,512,4090,6
-0.011720930477574276,44,1024,4090,6
-0.0011052129030557634,44,2048,4090,6
-0.0020306115260030344,44,4096,4090,6
0.003202937048987775,45,256,4090,6
0.00850099225825196,45,512,4090,6
0.015608153987852424,45,1024,4090,6
0.0028061971473229974,45,2048,4090,6
0.0026223942885176266,45,4096,4090,6
0.004221577139435606,46,256,4090,6
-0.006615769627206114,46,512,4090,6
-0.003226848705746077,46,1024,4090,6
-0.005274535713371886,46,2048,4090,6
-0.001722466432741765,46,4096,4090,6
-0.0017497728073440078,47,256,4090,6
0.005771396205806023,47,512,4090,6
-0.008641219318832216,47,1024,4090,6
-0.0013235184769107011,47,2048,4090,6
-0.0003453915613672587,47,4096,4090,6
0.0005903304579897295,48,256,4090,6
-0.00876375798001261,48,512,4090,6
-0.014366351412768097,48,1024,4090,6
-0.007993692364530958,48,2048,4090,6
-0.008477552741007921,48,4096,4090,6
0.0003283627419181645,49,256,4090,6
-0.00045144152533826976,49,512,4090,6
0.013741585035148218,49,1024,4090,6
0.004857477879805172,49,2048,4090,6
0.0033141661425319935,49,4096,4090,6
-0.003149361617440505,50,256,4090,6
0.013407266200126777,50,512,4090,6
-0.0004537965412316769,50,1024,4090,6
-0.0006612069176431534,50,2048,4090,6
0.005283403844258627,50,4096,4090,6
0.002799194383734438,51,256,4090,6
-0.0076178044598838035,51,512,4090,6
0.005748683467589277,51,1024,4090,6
0.006159247980189186,51,2048,4090,6
-0.004281064690187963,51,4096,4090,6
-5.9522314706184076e-05,52,256,4090,6
-0.00023026486587285344,52,512,4090,6
0.0025983415840385993,52,1024,4090,6
0.0019171862388559502,52,2048,4090,6
0.004684245839784107,52,4096,4090,6
-0.00247995197648887,53,256,4090,6
0.008167940939597496,53,512,4090,6
-0.005458207873446197,53,1024,4090,6
-0.006220450570372793,53,2048,4090,6
-0.0046492453500749376,53,4096,4090,6
0.0036458018534398784,54,256,4090,6
-0.013636022270200554,54,512,4090,6
0.010907837196936221,54,1024,4090,6
0.002951556728298943,54,2048,4090,6
0.007862276162161508,54,4096,4090,6
-0.006388134041339866,55,256,4090,6
0.009270360759731422,55,512,4090,6
-0.0029571978420748213,55,1024,4090,6
-0.0019082812666180171,55,2048,4090,6
-0.006246371756609359,55,4096,4090,6
0.005496002446100268,56,256,4090,6
-0.008206422748924469,56,512,4090,6
-0.004292886878663471,56,1024,4090,6
0.008158456153275262,56,2048,4090,6
-0.0010173605577542544,56,4096,4090,6
-0.000485426586864679,57,256,4090,6
0.001766527348712077,57,512,4090,6
-0.011550717085436202,57,1024,4090,6
-0.005022663526312421,57,2048,4090,6
0.002097660245221067,57,4096,4090,6
-0.0018473104143214014,58,256,4090,6
0.00027202522473956936,58,512,4090,6
0.0005900213431312418,58,1024,4090,6
-0.013185595658995242,58,2048,4090,6
